"idnum","father_fin_security_w234","mother_fin_security_w2345"
"1108","Yes","Yes"
"1109","Yes","Yes"
"1110","Yes","Yes"
"1111",NA,NA
"1112","No","No"
"1113","Yes","Yes"
"1114","No","No"
"1115","Yes","Yes"
"1116",NA,"Yes"
"1117","Yes","Yes"
"1118","Yes","Yes"
"1119","No","No"
"1120","No","No"
"1121","Yes","No"
"1122","Yes","Yes"
"1123","Yes","Yes"
"1124","No","Yes"
"1125","Yes","Yes"
"1126","No","Yes"
"1127",NA,NA
"1128","Yes","Yes"
"1129",NA,"Yes"
"1130","Yes","Yes"
"1131","Yes","Yes"
"1132","No",NA
"1133","No","Yes"
"1134",NA,"Yes"
"1135","Yes","No"
"1136","No","Yes"
"1137",NA,"No"
"1138",NA,"Yes"
"1139","No","Yes"
"1140","Yes","Yes"
"1141",NA,"No"
"1142",NA,NA
"1143","Yes","Yes"
"1144","Yes",NA
"1145","No","No"
"1146","Yes","Yes"
"1147","Yes","Yes"
"1148","Yes","No"
"1149","No","Yes"
"1150","Yes","Yes"
"1151","No","Yes"
"1152","No","Yes"
"1153",NA,NA
"1154","No","Yes"
"1155","No","No"
"1156","No","Yes"
"1157","Yes","Yes"
"1158",NA,"Yes"
"1159","No","No"
"1160",NA,"No"
"1161","No","No"
"1162","Yes","No"
"1163","No","Yes"
"1164","No","No"
"1165",NA,NA
"1166","No","No"
"1167","Yes","Yes"
"1168",NA,"Yes"
"1169","Yes","Yes"
"1170","No","Yes"
"1171","No","No"
"1172","No","Yes"
"1173","Yes","Yes"
"1174","No","Yes"
"1175","Yes","Yes"
"1176","Yes","Yes"
"1177",NA,"Yes"
"1178","No","Yes"
"1179",NA,"Yes"
"1180","Yes","Yes"
"1181",NA,"Yes"
"1182","No","No"
"1183",NA,"Yes"
"1184","No","No"
"1185","Yes","Yes"
"1186","No","Yes"
"1187",NA,"No"
"1188","No","Yes"
"1189","No","No"
"1190","No","No"
"1191","No","Yes"
"1192","No","Yes"
"1193","No","Yes"
"1194","Yes","Yes"
"1195","Yes","Yes"
"1196","No","Yes"
"1197","No","Yes"
"1198","No","No"
"1199","No","No"
"1200",NA,"No"
"1201","Yes","Yes"
"1202","No","Yes"
"1203","Yes","Yes"
